NEnergy= 15.2501   Entries 11
1    0.0686698   0.0694827   
2    0.0930444   0.0789105   
3    0.104727    0.0886998   
4    0.107165    0.0850439   
5    0.0757189   0.0732413   
6    0.0507785   0.0450183   
7    0.00397821  0.0272023   
8    0.00226549  0           
9    0           0           
10   0           0           
NEnergy= 11.7501   Entries 11
0    0.0104121   0.0154153   
1    0.0684768   0.0686219   
2    0.0933647   0.0780679   
3    0.106597    0.088295    
4    0.109262    0.0853451   
5    0.0772821   0.0725227   
6    0.0517603   0.0427534   
7    0.00384019  0.0257983   
8    0.00218522  0           
9    0           0           
10   0           0           
NEnergy= 11.6501   Entries 11
0    0.0103684   0.0152105   
1    0.0682516   0.0677193   
2    0.0937356   0.0772065   
3    0.108629    0.087841    
4    0.111483    0.0855128   
5    0.0788446   0.0717236   
6    0.0527414   0.0405129   
7    0.00370256  0.0244124   
8    0.00210532  0           
9    0           0           
10   0           0           
NEnergy= 11.5501   Entries 11
0    0.010314    0.0149957   
1    0.0679969   0.0667755   
2    0.0941629   0.0763256   
3    0.110832    0.0873309   
4    0.11383     0.0855304   
5    0.0804013   0.0708379   
6    0.0537182   0.0383072   
7    0.00356555  0.0230509   
8    0.00202594  0           
9    0           0           
10   0           0           
NEnergy= 11.4501   Entries 11
0    0.0102492   0.014771    
1    0.0677158   0.0657915   
2    0.0946525   0.0754245   
3    0.113215    0.0867578   
4    0.116306    0.0853824   
5    0.0819469   0.0698591   
6    0.0546874   0.0361454   
7    0.00342942  0.0217193   
8    0.00194722  0           
9    0           0           
10   0           0           
NEnergy= 11.3501   Entries 11
0    0.0101747   0.0145369   
1    0.067412    0.0647684   
2    0.0952105   0.0745023   
3    0.115786    0.0861148   
4    0.118915    0.085054    
5    0.0834765   0.0687815   
6    0.0556455   0.0340356   
7    0.00329442  0.0204223   
8    0.00186929  0           
9    0           0           
10   0           0           
NEnergy= 11.2501   Entries 11
0    0.0100913   0.0142937   
1    0.0670891   0.0637071   
2    0.0958429   0.0735579   
3    0.118555    0.0853955   
4    0.121661    0.0845318   
5    0.084985    0.0675993   
6    0.0565891   0.0319846   
7    0.00316079  0.0191641   
8    0.0017923   0           
9    0           0           
10   0           0           
NEnergy= 11.1501   Entries 11
0    0.00999974  0.0140419   
1    0.0667511   0.0626092   
2    0.0965554   0.07259     
3    0.121529    0.0845933   
4    0.124545    0.083804    
5    0.0864676   0.0663078   
6    0.0575151   0.0299981   
7    0.00302876  0.0179478   
8    0.00171636  0           
9    0           0           
10   0           0           
NEnergy= 11.0501   Entries 11
0    0.00990101  0.0137818   
1    0.0664016   0.0614756   
2    0.0973532   0.0715968   
3    0.124717    0.0837024   
4    0.12757     0.0828611   
5    0.0879193   0.0649029   
6    0.0584201   0.0280808   
