#Positive parity populations listed in first column
NEnergy= 9.55005   Entries 13
10   0.0000000   0.0000165   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.3500515   Entries 13
0    0.0051418   0.0166907   
1    0.0204428   0.1322014   
2    0.0216041   0.2134689   
3    0.0209131   0.2400067   
4    0.0062612   0.1978552   
5    0.0044692   0.0719270   
6    0.0012805   0.0459776   
7    0.0008102   0.0003809   
8    0.0001814   0.0002352   
9    0.0001018   0.0000325   
10   0.0000000   0.0000176   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.2500515   Entries 13
0    0.0055227   0.0193974   
1    0.0217937   0.1532120   
2    0.0225066   0.2278299   
3    0.0217437   0.2166349   
4    0.0063917   0.1804229   
5    0.0045683   0.0712705   
6    0.0013321   0.0455092   
7    0.0008432   0.0004137   
8    0.0001913   0.0002554   
9    0.0001073   0.0000346   
10   0.0000000   0.0000187   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.1500515   Entries 13
0    0.0058486   0.0223068   
1    0.0229215   0.1756437   
2    0.0231609   0.2434891   
3    0.0223491   0.1932784   
4    0.0064880   0.1626931   
5    0.0046434   0.0695026   
6    0.0013764   0.0443351   
7    0.0008716   0.0004469   
8    0.0002004   0.0002759   
9    0.0001123   0.0000366   
10   0.0000000   0.0000198   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.0500515   Entries 13
0    0.0060991   0.0252915   
1    0.0237536   0.1984587   
2    0.0235196   0.2597095   
3    0.0226847   0.1710574   
4    0.0065379   0.1454990   
5    0.0046854   0.0667215   
6    0.0014099   0.0425205   
7    0.0008931   0.0004791   
8    0.0002080   0.0002958   
9    0.0001165   0.0000383   
10   0.0000000   0.0000207   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.9500515   Entries 13
0    0.0062858   0.0281907   
1    0.0243320   0.2203268   
2    0.0236138   0.2754141   
3    0.0227811   0.1510030   
4    0.0065511   0.1296890   
5    0.0047011   0.0632649   
6    0.0014338   0.0402823   
7    0.0009087   0.0005106   
8    0.0002144   0.0003152   
9    0.0001200   0.0000399   
10   0.0000000   0.0000215   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
