#Positive parity populations listed in first column
NEnergy= 8.45005   Entries 13
10   0.0000000   0.0000525   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.2500515   Entries 13
0    0.0099013   0.0224340   
1    0.0381980   0.1681565   
2    0.0355544   0.2142613   
3    0.0347533   0.1407177   
4    0.0128267   0.1369368   
5    0.0093257   0.1031947   
6    0.0027668   0.0659688   
7    0.0018540   0.0012226   
8    0.0006383   0.0007571   
9    0.0003598   0.0001121   
10   0.0000000   0.0000602   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.1500515   Entries 13
0    0.0110695   0.0215908   
1    0.0426030   0.1593352   
2    0.0393886   0.2039353   
3    0.0384912   0.1406515   
4    0.0140864   0.1374241   
5    0.0102488   0.1052578   
6    0.0030525   0.0672431   
7    0.0020441   0.0014096   
8    0.0007043   0.0008728   
9    0.0003966   0.0001267   
10   0.0000000   0.0000680   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.0500515   Entries 13
0    0.0123081   0.0209528   
1    0.0472470   0.1524000   
2    0.0433624   0.1955170   
3    0.0423560   0.1399548   
4    0.0153375   0.1368167   
5    0.0111669   0.1055693   
6    0.0033365   0.0674089   
7    0.0022328   0.0016133   
8    0.0007698   0.0009989   
9    0.0004329   0.0001421   
10   0.0000000   0.0000762   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.9500515   Entries 13
0    0.0136218   0.0204494   
1    0.0521526   0.1467357   
2    0.0475087   0.1884035   
3    0.0463757   0.1388478   
4    0.0165850   0.1354227   
5    0.0120832   0.1045307   
6    0.0036186   0.0667269   
7    0.0024200   0.0018352   
8    0.0008347   0.0011362   
9    0.0004688   0.0001581   
10   0.0000000   0.0000848   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.8500515   Entries 13
0    0.0150134   0.0200296   
1    0.0573300   0.1419071   
2    0.0518376   0.1821458   
3    0.0505584   0.1374032   
4    0.0178253   0.1334403   
5    0.0129951   0.1025305   
6    0.0038970   0.0654479   
7    0.0026044   0.0020773   
8    0.0008986   0.0012860   
9    0.0005041   0.0001748   
10   0.0000000   0.0000937   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
