 Parameters used:

First geneneration spectra extracted for
excitation energies between  6838.-   38. keV
corresponding to y-channels    68 -    0
 Number of spectra=   69
 Ax0 =    39.0 Ax1 =   104.0 Ay0 =    37.5 Ay1 =   100.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=16.0 Exponent n=4.2
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:      560.0 keV (ch=   5)
 Upper threshold for statistical gammas: 1400.0 keV (ch=  13)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
  3   338.        2.        0.        2. 0.60       0  0.85  1.00  0.60  1.00  0.36
  2   238.        0.        0.        0. 0.00       0  0.85  0.00  0.00  0.00  0.00
  1   138.        0.        0.        0. 0.00       0  0.85  0.00  0.00  0.00  0.00
  0    38.        0.        0.        0. 0.00       0  0.85  0.00  0.00  0.00  0.00

Iteration number:   2
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
 68  6838.       59.       46.       14. 4.34       0  1.12  4.34  4.34  5.72  3.24
 67  6738.     1168.      858.      310. 3.77       0  1.03  3.77  3.77  3.26  2.83
 66  6638.     8177.     5969.     2209. 3.70       0  1.02  3.70  3.70  3.04  2.81
 65  6538.    21575.    15640.     5936. 3.63    1000  1.03  3.63  3.63  2.92  2.76
 64  6438.    29460.    21268.     8193. 3.60    1000  1.02  3.60  3.60  2.89  2.73
 63  6338.    29887.    21435.     8452. 3.54    1000  1.02  3.54  3.54  2.85  2.67
 62  6238.    29757.    21201.     8556. 3.48    1000  1.02  3.48  3.48  2.75  2.63
 61  6138.    29634.    21065.     8569. 3.46    1000  1.03  3.46  3.46  2.80  2.60
 60  6038.    29400.    20735.     8665. 3.39    1000  1.03  3.39  3.39  2.71  2.55
 59  5938.    28643.    20131.     8512. 3.36    1000  1.03  3.36  3.36  2.72  2.51
 58  5838.    28076.    19609.     8467. 3.32    1000  1.03  3.32  3.32  2.66  2.48
 57  5738.    27725.    19250.     8475. 3.27    1000  1.03  3.27  3.27  2.60  2.44
 56  5638.    27275.    18821.     8454. 3.23    1000  1.03  3.23  3.23  2.61  2.39
 55  5538.    27063.    18517.     8546. 3.17    1000  1.03  3.17  3.17  2.52  2.34
 54  5438.    26717.    18128.     8589. 3.11    1000  1.04  3.11  3.11  2.45  2.30
 53  5338.    26180.    17728.     8453. 3.10    1000  1.04  3.10  3.10  2.48  2.28
 52  5238.    26037.    17489.     8548. 3.05    1000  1.04  3.05  3.05  2.42  2.24
 51  5138.    25387.    16861.     8526. 2.98    1000  1.04  2.98  2.98  2.35  2.18
 50  5038.    25001.    16580.     8421. 2.97    1000  1.05  2.97  2.97  2.38  2.16
 49  4938.    24825.    16276.     8549. 2.90    1000  1.06  2.90  2.90  2.30  2.11
 48  4838.    24292.    15789.     8503. 2.86    1000  1.06  2.86  2.86  2.26  2.07
